nsow,iteration,dh,upfront_cost,total_cost,bcr,reliability,satisficing
1000,9,14,191370.0,4282857.696256862,2.3323976029698934,0.1266454073883376,7.9
1000,10,0,0.0,4155985.162326291,,0.02745974580039728,0.0
1000,10,3,141285.0,4158232.507219057,0.9840935351044588,0.07334807102787627,0.0
1000,10,9,153870.0,3985868.7437977404,2.1055853547055947,0.1505655956133316,7.7
1000,10,14,191370.0,3917205.2615024936,2.2477394618999664,0.1854226651628101,7.8
10000,1,0,0.0,201441.84605829796,,0.15791363775342415,0.0
10000,1,3,141285.0,235465.43054133147,0.7591847366455498,0.41414945343268844,0.52
10000,1,9,153870.0,179202.7868346094,1.1445314825741768,0.7882263448695599,36.84
10000,1,14,191370.0,201806.23655938596,0.9980958849292576,0.9074323788928141,36.28
10000,2,0,0.0,201324.33664783603,,0.15802079669508684,0.0
10000,2,3,141285.0,235282.35306622495,0.7596488203391093,0.41540473623708823,0.49
10000,2,9,153870.0,179097.34792502937,1.1444530364775891,0.7900869655214018,36.86
10000,2,14,191370.0,201754.91541634162,0.9977500194988472,0.908397702519958,35.83
10000,3,0,0.0,206013.55445711012,,0.15268195703472703,0.0
10000,3,3,141285.0,238082.89090230837,0.7730166935966432,0.4043567204295799,0.35000000000000003
10000,3,9,153870.0,180093.4064062633,1.1684548518284712,0.781312618269533,38.16
10000,3,14,191370.0,202202.88779357544,1.0199125602943757,0.9039058968030633,37.69
10000,4,0,0.0,201491.73252289777,,0.15385555527733194,0.0
10000,4,3,141285.0,235700.3550351264,0.7578750574213212,0.4081420984299977,0.53
10000,4,9,153870.0,179328.52468700276,1.1440385249619485,0.7856307824015225,37.31
10000,4,14,191370.0,201857.51702621073,0.998088600599295,0.906342647750073,36.0
10000,5,0,0.0,204113.32543606483,,0.15185665113664124,0.0
10000,5,3,141285.0,237039.6349371829,0.7669511306853658,0.40478054363658805,0.44999999999999996
10000,5,9,153870.0,179712.74969949032,1.158579162517544,0.7827357039290316,37.25
10000,5,14,191370.0,202028.61378450814,1.0108936178688233,0.9047324492858239,37.18
10000,6,0,0.0,6305048.985161083,,0.0018089702746733206,0.0
10000,6,3,141285.0,6401440.373291944,0.31775214544458685,0.004628040558445917,0.01
10000,6,9,153870.0,6347073.094003871,0.7268856252499644,0.01036321658490773,0.62
10000,6,14,191370.0,6342551.371523123,0.804032051199034,0.013444870978768998,0.8
10000,7,0,0.0,6563258.85192064,,0.00010397002817717302,0.0
10000,7,3,141285.0,6676883.7872578995,0.19577495603029313,0.0001305621933801927,0.0
10000,7,9,153870.0,6646615.76292642,0.4582640475350543,0.0001799467219729718,0.0
10000,7,14,191370.0,6656295.301522316,0.5138399456462541,0.00021734075982907114,0.0
10000,8,0,0.0,6563621.525383693,,0.00013098036424611664,0.0
10000,8,3,141285.0,6677145.737883654,0.19648786141513708,0.00014315323823968775,0.0
10000,8,9,153870.0,6646708.375918402,0.4600191685532612,0.00016410529453157562,0.0
10000,8,14,191370.0,6656269.485813062,0.5158699878279321,0.0001800249888162621,0.0
10000,9,0,0.0,205210.0012922798,,0.15334079727454358,0.0
10000,9,3,141285.0,237346.84063385095,0.7725389153726784,0.4047189503063932,0.44
10000,9,9,153870.0,179584.55188883215,1.1665396074832497,0.7829795362313493,37.74
10000,9,14,191370.0,201864.85769976734,1.0174799790589562,0.9055267803162885,37.71
10000,10,0,0.0,201278.89427807837,,0.1551387645696546,0.0
10000,10,3,141285.0,235137.4549030985,0.7603527577236074,0.4104631734336478,0.41000000000000003
10000,10,9,153870.0,178939.8879522792,1.1451810380567957,0.7879963721450923,37.78
